user_id,rank,experience_id,experience_name,category,preferred_category,secondary_category,personalized_score,meaningful_engagement
0,1,1108,Experience 1108,Puzzle,Puzzle,Adventure,0.7713057369667898,1
0,2,1075,Experience 1075,Puzzle,Puzzle,Adventure,0.7434668985543429,0
0,3,1102,Experience 1102,Sports,Puzzle,Adventure,0.5044177528177747,0
0,4,1014,Experience 1014,Social,Puzzle,Adventure,0.4786388639937035,0
0,5,1033,Experience 1033,Simulation,Puzzle,Adventure,0.45821262125092815,0
1,1,1034,Experience 1034,Strategy,Strategy,Sports,0.724969957128634,0
1,2,1083,Experience 1083,Sports,Strategy,Sports,0.594490730203359,0
1,3,1049,Experience 1049,Sports,Strategy,Sports,0.5267394498169806,0
1,4,1053,Experience 1053,Puzzle,Strategy,Sports,0.44551360396086476,0
1,5,1085,Experience 1085,Social,Strategy,Sports,0.4330739447787881,0
