user_id,experience_id,experience_name,category,quality_score,popularity_score,novelty_score,difficulty,avg_session_minutes,preferred_category,secondary_category,novelty_preference,social_preference,preferred_session_minutes,primary_category_match,secondary_category_match,session_length_gap,novelty_alignment,meaningful_engagement,personalized_score,rank
0,1046,Experience 1046,Puzzle,0.9358581895296346,0.2937905951089806,0.3646871905132503,0.5570017818814502,30,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,1.0,0.0,0.0166666666666666,0.8400698322163678,0,0.8155655159832965,1
0,1108,Experience 1108,Puzzle,0.8425576923542274,0.4822507608830354,0.666849920378606,0.8027206052883656,21,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,1.0,0.0,0.1333333333333333,0.537907102351012,1,0.7713057369667898,2
0,1075,Experience 1075,Puzzle,0.7701763699744956,0.5714931074517187,0.7080993700732455,0.0043057756676786,58,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,1.0,0.0,0.4833333333333333,0.4966576526563725,0,0.7434668985543429,3
0,1102,Experience 1102,Sports,0.9402838286695968,0.4125021221616953,0.1907643304361418,0.200562471321554,40,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,0.0,0.0,0.1833333333333333,0.9860073077065236,0,0.5044177528177747,4
0,1022,Experience 1022,Adventure,0.5006486309375991,0.407575941114626,0.4697425498140824,0.908608246555642,36,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,0.0,1.0,0.1166666666666666,0.7350144729155357,0,0.49443299822513287,5
1,1034,Experience 1034,Strategy,0.5016628944231066,0.7184788322001798,0.7569144817322334,0.2251776661055454,11,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,1.0,0.0,0.0166666666666666,0.5939738891582165,0,0.724969957128634,1
1,1080,Experience 1080,Strategy,0.4960287753620589,0.3772823688301061,0.669450532879556,0.5189146424870842,16,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,1.0,0.0,0.0666666666666666,0.6814378380108939,0,0.7061661751892493,2
1,1036,Experience 1036,Sports,0.9655169972756756,0.2298411882545339,0.2550485289661252,0.8478368672236546,17,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,0.0,1.0,0.0833333333333333,0.9041601580756752,1,0.6584432673757057,3
1,1047,Experience 1047,Strategy,0.22550606962591,0.2148767550411004,0.6209051459122696,0.296299630453485,14,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,1.0,0.0,0.0333333333333333,0.7299832249781802,1,0.6456567136280035,4
1,1102,Experience 1102,Sports,0.9402838286695968,0.4125021221616953,0.1907643304361418,0.200562471321554,40,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,0.0,1.0,0.4666666666666667,0.8398759595456919,0,0.6264041769464723,5
2,1053,Experience 1053,Puzzle,0.7426572934279929,0.7514869168546299,0.2904976508730454,0.8341208920021081,34,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,1.0,0.0,0.1666666666666666,0.9653195417528898,1,0.808776529753398,1
2,1004,Experience 1004,Puzzle,0.809305382335664,0.5027055170834634,0.7716046143560276,0.3920600224154432,16,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,1.0,0.0,0.1333333333333333,0.5535734947641281,1,0.775221061169958,2
2,1054,Experience 1054,Puzzle,0.6795756146978778,0.2537314254122666,0.2509959349159629,0.6813294726896911,34,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,1.0,0.0,0.1666666666666666,0.9258178257958072,0,0.7681834089032566,3
