user_id,experiment_group
978,control
933,control
859,control
916,control
127,control
608,control
856,control
260,control
147,control
810,control
635,control
972,control
593,control
994,control
285,control
554,control
467,control
276,control
55,control
61,control
839,control
425,control
82,control
620,control
787,control
2,control
753,control
7,control
903,control
626,control
51,control
557,control
310,control
100,control
848,control
921,control
45,control
976,control
136,control
128,control
605,control
945,control
773,control
941,control
613,control
98,control
758,control
595,control
470,control
25,control
514,control
239,control
980,control
623,control
252,control
662,control
171,control
408,control
993,control
592,control
701,control
427,control
457,control
454,control
151,control
756,control
250,control
904,control
324,control
439,control
650,control
238,control
498,control
806,control
629,control
468,control
343,control
664,control
671,control
652,control
346,control
381,control
493,control
708,control
513,control
563,control
857,control
781,control
135,control
232,control
931,control
426,control
660,control
995,control
36,control
545,control
116,control
434,control
390,control
751,control
797,control
180,control
152,control
38,control
946,control
710,control
789,control
558,control
142,control
166,control
990,control
83,control
914,control
230,control
885,control
413,control
125,control
726,control
865,control
638,control
96,control
764,control
79,control
579,control
421,control
179,control
248,control
889,control
771,control
435,control
860,control
582,control
302,control
987,control
131,control
199,control
996,control
898,control
934,control
900,control
150,control
143,control
703,control
474,control
371,control
551,control
222,control
835,control
306,control
750,control
963,control
340,control
767,control
830,control
896,control
387,control
66,control
297,control
881,control
814,control
892,control
724,control
991,control
193,control
253,control
236,control
891,control
674,control
746,control
315,control
129,control
21,control
673,control
373,control
598,control
853,control
130,control
544,control
35,control
867,control
203,control
86,control
146,control
433,control
224,control
218,control
960,control
417,control
697,control
552,control
88,control
624,control
445,control
268,control
6,control
630,control
805,control
197,control
950,control
11,control
911,control
356,control
388,control
281,control
511,control
120,control
115,control
29,control
367,control
307,control
206,control
9,control
319,control
185,control
808,control
91,control
836,control
815,control
479,control
154,control
126,control
909,control
455,control
363,control
424,control
278,control
567,control
43,control
243,control
321,control
883,control
304,control
717,control
231,control
550,control
818,control
776,control
328,control
350,control
849,control
201,control
368,control
935,control
107,control
273,control
331,control
409,control
631,control
245,control
783,control
448,control
888,control
169,control
612,control
30,control
542,control
646,control
813,control
241,control
395,control
119,control
678,control
902,control
360,control
645,control
614,control
532,control
799,control
712,control
527,control
657,control
581,control
429,control
562,control
793,control
0,control
677,control
156,control
28,control
768,control
762,control
588,control
570,control
501,control
944,control
584,control
274,control
887,control
101,control
71,control
464,control
77,control
940,control
937,control
512,control
352,control
693,control
92,control
394,control
259,control
868,control
798,control
164,control
244,control
829,control
684,control
796,control
444,control
354,control
775,control
330,control
382,control
62,control
878,control
842,control
344,control
745,control
336,control
44,control
163,control
890,control
936,control
153,control
219,control
213,control
591,control
12,control
56,control
133,control
572,control
305,control
955,control
785,control
334,control
288,control
326,control
225,control
707,control
576,control
380,control
998,control
803,control
420,control
299,control
447,control
875,control
788,control
872,control
402,control
536,control
761,control
312,control
204,control
217,control
48,control
695,control
496,control
14,control
833,control
616,control
659,control
379,control
176,control
539,control
173,control
666,control
556,control
546,control
983,control
691,control
159,control
50,control
8,control
541,control
298,control
365,control
198,control
60,control
361,control
289,control
975,control
905,control
817,control
748,control
565,control
734,control
237,control
774,control
894,control
988,control
825,control
20,control
480,control
271,control
476,control
834,control
530,control
780,control
986,control
183,control
140,control
393,control
202,control
725,control
743,control
124,control
951,control
59,control
823,control
716,control
766,control
688,control
690,control
472,control
64,control
234,control
873,control
719,control
585,control
461,control
40,control
977,control
601,control
478,control
589,control
694,control
915,control
132,control
72,control
138,control
121,control
46,control
482,control
184,control
53,control
715,control
33,control
966,control
794,control
26,control
415,control
509,control
772,control
374,control
431,control
742,control
168,control
531,control
399,control
471,control
172,control
269,control
596,control
258,control
731,control
879,control
714,control
144,control
463,control
220,control
740,control
85,control
852,control
704,control
627,control
723,control
807,control
226,control
110,control
869,control
984,control
663,control
561,control
802,control
729,control
952,control
377,control
351,control
174,control
784,control
155,control
795,control
709,control
816,control
964,control
47,control
670,control
400,control
97,control
840,control
778,control
211,control
309,control
619,control
845,control
3,control
971,control
683,control
192,control
406,control
738,treatment
80,treatment
744,treatment
419,treatment
357,treatment
644,treatment
422,treatment
923,treatment
929,treatment
603,treatment
208,treatment
345,treatment
256,treatment
145,treatment
854,treatment
488,treatment
713,treatment
90,treatment
469,treatment
800,treatment
441,treatment
108,treatment
404,treatment
338,treatment
68,treatment
575,treatment
741,treatment
700,treatment
705,treatment
728,treatment
747,treatment
194,treatment
925,treatment
569,treatment
855,treatment
58,treatment
462,treatment
901,treatment
261,treatment
398,treatment
755,treatment
871,treatment
459,treatment
632,treatment
647,treatment
580,treatment
954,treatment
235,treatment
280,treatment
922,treatment
618,treatment
573,treatment
293,treatment
538,treatment
178,treatment
516,treatment
680,treatment
981,treatment
229,treatment
353,treatment
84,treatment
607,treatment
668,treatment
559,treatment
870,treatment
686,treatment
282,treatment
522,treatment
438,treatment
160,treatment
74,treatment
733,treatment
938,treatment
969,treatment
200,treatment
757,treatment
517,treatment
754,treatment
979,treatment
295,treatment
423,treatment
118,treatment
337,treatment
985,treatment
947,treatment
215,treatment
924,treatment
54,treatment
880,treatment
737,treatment
847,treatment
643,treatment
765,treatment
446,treatment
284,treatment
897,treatment
874,treatment
99,treatment
139,treatment
926,treatment
320,treatment
246,treatment
23,treatment
191,treatment
505,treatment
264,treatment
824,treatment
465,treatment
792,treatment
610,treatment
636,treatment
653,treatment
801,treatment
520,treatment
436,treatment
430,treatment
262,treatment
242,treatment
698,treatment
822,treatment
656,treatment
594,treatment
907,treatment
486,treatment
103,treatment
414,treatment
327,treatment
104,treatment
844,treatment
906,treatment
841,treatment
443,treatment
692,treatment
31,treatment
676,treatment
383,treatment
254,treatment
17,treatment
24,treatment
355,treatment
679,treatment
378,treatment
782,treatment
769,treatment
568,treatment
460,treatment
19,treatment
162,treatment
16,treatment
899,treatment
308,treatment
968,treatment
495,treatment
325,treatment
73,treatment
75,treatment
515,treatment
831,treatment
997,treatment
577,treatment
913,treatment
958,treatment
283,treatment
574,treatment
456,treatment
862,treatment
639,treatment
466,treatment
658,treatment
777,treatment
739,treatment
27,treatment
249,treatment
292,treatment
477,treatment
265,treatment
819,treatment
247,treatment
858,treatment
228,treatment
696,treatment
655,treatment
876,treatment
294,treatment
22,treatment
210,treatment
89,treatment
661,treatment
148,treatment
485,treatment
196,treatment
682,treatment
917,treatment
134,treatment
524,treatment
882,treatment
67,treatment
494,treatment
866,treatment
497,treatment
989,treatment
519,treatment
759,treatment
625,treatment
957,treatment
537,treatment
604,treatment
358,treatment
722,treatment
489,treatment
233,treatment
109,treatment
930,treatment
412,treatment
291,treatment
181,treatment
587,treatment
838,treatment
405,treatment
391,treatment
165,treatment
449,treatment
846,treatment
209,treatment
401,treatment
649,treatment
473,treatment
149,treatment
959,treatment
70,treatment
255,treatment
37,treatment
428,treatment
886,treatment
566,treatment
318,treatment
681,treatment
770,treatment
322,treatment
727,treatment
965,treatment
949,treatment
158,treatment
999,treatment
95,treatment
348,treatment
487,treatment
175,treatment
341,treatment
804,treatment
186,treatment
920,treatment
263,treatment
411,treatment
257,treatment
811,treatment
316,treatment
251,treatment
942,treatment
600,treatment
506,treatment
78,treatment
240,treatment
760,treatment
376,treatment
214,treatment
549,treatment
418,treatment
884,treatment
270,treatment
13,treatment
492,treatment
161,treatment
392,treatment
216,treatment
207,treatment
606,treatment
685,treatment
112,treatment
507,treatment
18,treatment
665,treatment
523,treatment
157,treatment
205,treatment
335,treatment
458,treatment
223,treatment
928,treatment
578,treatment
521,treatment
362,treatment
895,treatment
510,treatment
571,treatment
919,treatment
407,treatment
826,treatment
4,treatment
94,treatment
560,treatment
481,treatment
499,treatment
323,treatment
93,treatment
843,treatment
877,treatment
763,treatment
389,treatment
397,treatment
564,treatment
32,treatment
386,treatment
364,treatment
667,treatment
453,treatment
440,treatment
640,treatment
633,treatment
227,treatment
369,treatment
642,treatment
416,treatment
452,treatment
81,treatment
827,treatment
820,treatment
863,treatment
370,treatment
311,treatment
450,treatment
52,treatment
912,treatment
342,treatment
540,treatment
267,treatment
721,treatment
106,treatment
122,treatment
396,treatment
992,treatment
533,treatment
730,treatment
384,treatment
105,treatment
266,treatment
347,treatment
190,treatment
864,treatment
850,treatment
39,treatment
339,treatment
188,treatment
403,treatment
525,treatment
189,treatment
812,treatment
87,treatment
732,treatment
483,treatment
5,treatment
597,treatment
699,treatment
953,treatment
442,treatment
893,treatment
861,treatment
385,treatment
332,treatment
790,treatment
359,treatment
590,treatment
504,treatment
962,treatment
375,treatment
114,treatment
170,treatment
851,treatment
123,treatment
301,treatment
615,treatment
602,treatment
711,treatment
786,treatment
918,treatment
508,treatment
718,treatment
599,treatment
221,treatment
654,treatment
111,treatment
475,treatment
484,treatment
329,treatment
279,treatment
277,treatment
349,treatment
956,treatment
187,treatment
65,treatment
974,treatment
611,treatment
583,treatment
948,treatment
69,treatment
410,treatment
689,treatment
637,treatment
177,treatment
736,treatment
982,treatment
117,treatment
586,treatment
372,treatment
10,treatment
628,treatment
927,treatment
669,treatment
63,treatment
735,treatment
500,treatment
1,treatment
42,treatment
634,treatment
529,treatment
167,treatment
809,treatment
821,treatment
76,treatment
313,treatment
296,treatment
502,treatment
490,treatment
720,treatment
837,treatment
543,treatment
641,treatment
939,treatment
617,treatment
290,treatment
779,treatment
910,treatment
212,treatment
555,treatment
967,treatment
672,treatment
317,treatment
57,treatment
791,treatment
535,treatment
932,treatment
272,treatment
15,treatment
432,treatment
503,treatment
828,treatment
621,treatment
137,treatment
702,treatment
287,treatment
451,treatment
528,treatment
300,treatment
752,treatment
622,treatment
943,treatment
195,treatment
34,treatment
286,treatment
314,treatment
970,treatment
547,treatment
333,treatment
182,treatment
49,treatment
518,treatment
102,treatment
687,treatment
651,treatment
41,treatment
553,treatment
366,treatment
534,treatment
275,treatment
675,treatment
832,treatment
303,treatment
113,treatment
749,treatment
908,treatment
437,treatment
491,treatment
526,treatment
141,treatment
706,treatment
548,treatment
609,treatment
961,treatment
973,treatment
648,treatment
