,coefficient,exp_coefficient,p_value,ci_lower,ci_upper
Intercept,2.691359785891262,14.751721471253708,0.0,13.953167715421614,15.59597725790485
"C(dominant_tab, Treatment(reference=1))[T.0]",0.024208325159927907,1.0245037255632305,0.2588685258317339,0.9823425822144793,1.0684743822535159
"C(dominant_tab, Treatment(reference=1))[T.2]",-0.13784730985363472,0.8712317100875763,0.02140893777382555,0.7746998594925557,0.979791958603571
"C(dominant_tab, Treatment(reference=1))[T.4]",0.08355278850837897,1.0871426024145505,0.03608629393823029,1.0054357963902627,1.1754893173963858
long_view_rate_t,-0.10147500686444372,0.9035037604519938,0.0005361830958629651,0.8530614070148748,0.9569288194708585
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.0]",0.01689917135837923,1.0170427701142468,0.8504619099472127,0.8531789157550879,1.2123787603520513
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.2]",0.38646491287550966,1.4717687560268595,0.0010752661064740874,1.167460037742933,1.85539821594631
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.4]",-0.13537071558812092,0.8733920716099737,0.12886333304390762,0.7333842781368036,1.0401282567566414
prior_7d_sessions_per_day,0.1251765029556102,1.1333484747696294,1.03524617089101e-272,1.1254952473372715,1.1412564986849136
prior_7d_avg_minutes_per_session,0.0008305928360741976,1.0008309378738258,0.004379154448979903,1.0002593168437537,1.0014028855697903
sessions_t,0.03859313975336719,1.039347528422407,3.23555107772929e-118,1.0359520129603645,1.0427541732853376
alpha,0.07232609688538334,1.0750058429695681,1.7748964560961654e-51,1.06495706483241,1.0851494398983792
