,coefficient,exp_coefficient,ci_lower,ci_upper,p_value
Intercept,2.691187499724003,14.749180172622536,13.948561142969162,15.59575310562645,0.0
"C(dominant_tab, Treatment(reference=1))[T.0]",0.02425328758745934,1.024549790773341,0.9825673931656697,1.0683259805637655,0.25589906578745014
"C(dominant_tab, Treatment(reference=1))[T.2]",-0.13799850362862046,0.8710999952339247,0.7746173767846557,0.9796000250424215,0.021217324871771703
"C(dominant_tab, Treatment(reference=1))[T.4]",0.08358986787522435,1.087182913721273,1.0054913745674934,1.1755115138564893,0.035960624471264496
long_view_rate_t,-0.10147700314597094,0.9035019568059273,0.8530319221659871,0.9569580747686216,0.0005399676391158923
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.0]",0.01674637332384511,1.0168873798499019,0.8536182037969263,1.211384596413784,0.851239580895692
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.2]",0.3867356140077868,1.4721672194253794,1.167862399808767,1.8557634206782723,0.0010626590111985448
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.4]",-0.13541767010338457,0.8733510628713964,0.7333516174188989,1.0400769029502401,0.12872542524655223
prior_7d_sessions_per_day,0.12519583980384894,1.1333703903689762,1.1254248761927983,1.141371999977963,1.5606755795963485e-266
prior_7d_avg_minutes_per_session,0.0008306345945149989,1.0008309796669663,1.0002590241014273,1.0014032622809605,0.004400177353214298
sessions_t,0.03860458707366081,1.0393594262345602,1.0360625076602898,1.0426668361373024,2.322441965074467e-125
