tab,tag_rank,tag,interactions,interaction_share
0,1,34,249709,0.10676284239730165
0,2,12,158180,0.06762970662012653
0,3,39,109727,0.04691367314645735
0,4,11,108901,0.046560517642169674
0,5,9,106693,0.04561648936920698
0,6,28,103576,0.04428381902191317
0,7,8,103117,0.04408757401408261
0,8,25,75665,0.032350497859475746
0,9,6,73917,0.03160314214338028
0,10,"39,68",71557,0.030594126416844065
1,1,39,700243,0.09295157828114387
1,2,28,560087,0.07434700614608218
1,3,9,534508,0.07095160137823248
1,4,3,376476,0.04997413524301124
1,5,6,374218,0.04967440405860979
1,6,34,352213,0.04675341880052571
1,7,11,336362,0.04464932712472972
1,8,12,328807,0.04364646215654862
1,9,2,277772,0.03687197987314389
1,10,"39,68",277453,0.03682963521068859
2,1,9,32065,0.08215033267490092
2,2,28,31156,0.0798214802688044
2,3,39,30572,0.07832527586268738
2,4,11,21432,0.05490865210941763
2,5,2,19086,0.04889821454648866
2,6,3,17504,0.04484514028197304
2,7,12,16927,0.04336686983277866
2,8,6,15626,0.04003371583901456
2,9,25,15532,0.03979288841748202
2,10,19,15441,0.03955974697748776
4,1,39,85252,0.09787504204796856
4,2,28,84615,0.09714372311369655
4,3,9,60126,0.06902870053695112
4,4,12,51414,0.059026737341695855
4,5,34,47884,0.05497405941708026
4,6,11,46218,0.05306137912744582
4,7,"39,68",38189,0.04384354596689662
4,8,6,37898,0.043509458353281
4,9,3,37641,0.04321440503129058
4,10,25,32413,0.037212308660216825
