tab,upload_type,interactions,interaction_share
0,LongImport,701781,0.291515740116111
0,ShortImport,428163,0.1778564165107554
0,Kmovie,399510,0.1659541271903735
0,Web,230259,0.09564824753505095
0,LongCamera,186646,0.07753166134408263
0,LongPicture,175843,0.07304415806246864
0,ShortCamera,115153,0.04783388553065775
0,PictureCopy,69190,0.02874112302646227
0,PictureSet,38298,0.015908766146371614
0,PhotoCopy,19346,0.008036215725826551
0,UNKNOWN,11896,0.004941529115808573
0,FollowShoot,7483,0.0031083946178207425
0,ShareFromOtherApp,6837,0.0028400499802272374
0,AiCutVideo,6093,0.002530996713401281
0,FlashPhoto,3479,0.0014451563377520197
0,OriginPicture,3031,0.0012590597469750997
0,Recreation,1494,0.000620598898706961
0,SameFrame,1243,0.0005163349605707848
0,LocalIntelligenceAlbum,500,0.00020769708792066967
0,LiveClip,333,0.00013832626055516602
0,Karaoke,292,0.00012129509934567109
0,LipsSync,291,0.00012087970516982976
0,Status,80,3.323153406730715e-05
0,LocalCollection,47,1.952352626454295e-05
0,StoryMoodTemplate,32,1.329261362692286e-05
0,ALBUM2021,19,7.892489340985448e-06
0,Solitaire,8,3.323153406730715e-06
0,ShortOriginImport,4,1.6615767033653575e-06
0,ResidentChange,1,4.1539417584133937e-07
1,LongImport,2133311,0.27642152010709026
1,ShortImport,1914985,0.24813215920335865
1,Web,1288242,0.16692259680177818
1,Kmovie,1241366,0.16084868860154858
1,LongPicture,350656,0.04543588091688078
1,ShortCamera,248114,0.032149109548420554
1,LongCamera,195379,0.025316027610134288
1,PictureSet,116068,0.015039388535375177
1,PictureCopy,78990,0.010235045838726309
1,ShareFromOtherApp,35167,0.004556726889612459
1,UNKNOWN,30250,0.003919611806829609
1,FollowShoot,20658,0.0026767385357185478
1,Recreation,14953,0.0019375191850420875
1,SameFrame,14492,0.0018777855968454447
1,AiCutVideo,11129,0.0014420284230812139
1,PhotoCopy,9616,0.00124598304576772
1,FlashPhoto,6622,0.000858038657349609
1,OriginPicture,2526,0.0003273037826132758
1,LipsSync,1847,0.00023932307461865416
1,LocalIntelligenceAlbum,1649,0.00021366743370122398
1,LiveClip,966,0.00012516842993049265
1,StoryMoodTemplate,217,2.8117545853951248e-05
1,Status,176,2.2805014148826817e-05
1,LocalCollection,170,2.2027570484662268e-05
1,Karaoke,17,2.2027570484662268e-06
1,Solitaire,12,1.5548873283291012e-06
1,ShortOriginImport,10,1.2957394402742511e-06
1,Copy,6,7.774436641645506e-07
1,CommonAvatar,4,5.182957761097004e-07
1,ALBUM2021,1,1.295739440274251e-07
1,ResidentChange,1,1.295739440274251e-07
1,ShootRecognition,1,1.295739440274251e-07
2,LongImport,103848,0.258140211239072
2,ShortImport,101770,0.2529748218338375
2,Kmovie,78678,0.1955738727743212
2,Web,58004,0.14418346826815281
2,LongPicture,17451,0.04337883085214011
2,ShortCamera,14516,0.03608315332357262
2,LongCamera,10794,0.026831190202166084
2,PictureSet,5660,0.014069347465653144
2,PictureCopy,2587,0.006430636376969025
2,FollowShoot,2043,0.005078388139987521
2,UNKNOWN,1926,0.004787555339019073
2,ShareFromOtherApp,1505,0.0037410544056197845
2,SameFrame,948,0.0023564914129751203
2,Recreation,907,0.0022545756451143816
2,AiCutVideo,540,0.0013423052352389926
2,PhotoCopy,365,0.0009072989090041338
2,FlashPhoto,310,0.0007705826350446068
2,OriginPicture,198,0.0004921785862542973
2,LocalIntelligenceAlbum,94,0.0002336605409490098
2,LipsSync,70,0.00017400253049394346
2,StoryMoodTemplate,23,5.717226001943857e-05
2,LiveClip,23,5.717226001943857e-05
2,Karaoke,16,3.977200697004422e-05
2,LocalCollection,10,2.4857504356277638e-05
2,Status,5,1.2428752178138819e-05
2,Solitaire,2,4.971500871255528e-06
4,LongImport,269326,0.30079351340484817
4,ShortImport,195437,0.21827146981466072
4,Web,173653,0.19394227064335454
4,Kmovie,162884,0.18191504213271387
4,LongCamera,34227,0.038226014507725725
4,PictureCopy,21331,0.02382327155357751
4,ShortCamera,20833,0.023267086225478427
4,ShareFromOtherApp,5442,0.006077832440793625
4,UNKNOWN,4690,0.00523797025860384
4,FollowShoot,1643,0.001834964847523691
4,SameFrame,1198,0.001337971933860853
4,AiCutVideo,965,0.0010777486779430078
4,PhotoCopy,946,0.0010565287557866168
4,LongPicture,821,0.00091692400475773
4,OriginPicture,626,0.0006991405931526662
4,Recreation,451,0.0005036939417122243
4,FlashPhoto,314,0.00035068713458456417
4,LocalIntelligenceAlbum,244,0.0002725084740083875
4,PictureSet,161,0.00017981091932520648
4,LiveClip,104,0.000116151152856034
4,LipsSync,43,4.8024034353937134e-05
4,Karaoke,26,2.90377882140085e-05
4,LocalCollection,12,1.3402056098773154e-05
4,ALBUM2021,5,5.584190041155481e-06
4,Solitaire,2,2.233676016462192e-06
4,Status,1,1.116838008231096e-06
