,coefficient,exp_coefficient,p_value,ci_lower,ci_upper
Intercept,3.852319866150372,47.102207399253416,1.1442798805464115e-275,38.07240247219947,58.27365224724973
"C(dominant_tab, Treatment(reference=1))[T.2]",-0.18737793146935167,0.8291303227235406,0.008404083100038737,0.7212765337023481,0.9531116845447491
C(user_id)[T.12],-0.9400493064734794,0.39060857535234206,2.711548001560582e-58,0.34836139959432844,0.4379792345433853
C(user_id)[T.34],-0.6188056318959944,0.5385873251184171,2.496792230307177e-08,0.43326159826761157,0.6695176954017534
C(user_id)[T.70],0.4596035196427459,1.5834460552641219,5.11427649265521e-09,1.3572300374163488,1.84736657811115
C(user_id)[T.77],-1.4300793635217028,0.23928993059854226,3.89865318424492e-29,0.1863273895679039,0.30730678414290685
C(user_id)[T.82],0.14489845056628098,1.1559221810648086,0.24114975086726476,0.9071981572123161,1.4728381865142135
C(user_id)[T.86],-0.7529184250109837,0.4709899960449231,2.2775563790960746e-164,0.4462267138343184,0.4971275127574759
C(user_id)[T.103],0.08371092105196028,1.0873145286327126,0.09939935406548643,0.9842650119785048,1.2011530124384806
C(user_id)[T.115],0.31520395653393174,1.3705388127987916,0.025083766005387816,1.040206381067931,1.8057730384805757
C(user_id)[T.123],0.9342700269988958,2.545354739176529,9.642701754461255e-10,1.886702753042605,3.433943549295342
C(user_id)[T.134],-0.03244799749402704,0.9680727907334505,0.3002967254777018,0.9104220580296996,1.0293741456425467
C(user_id)[T.136],-0.48028155548227824,0.6186091944740928,2.995824487182443e-11,0.5369210133267153,0.7127255704090457
C(user_id)[T.177],0.7677291076661286,2.1548672218486136,1.870175421831586e-11,1.7223208417738942,2.6960439838927255
C(user_id)[T.198],0.742802635533653,2.1018178970803665,8.660254480726798e-05,1.450509158662713,3.045577786327213
C(user_id)[T.262],0.5638850576297935,1.7574871930160596,7.363701347427228e-17,1.539387086564285,2.0064876862837586
C(user_id)[T.263],0.0257993744764722,1.0261350589373752,0.6641719913979715,0.913320195664551,1.152885005914338
C(user_id)[T.278],0.6056304736567165,1.8324071291974393,4.986124215155977e-07,1.4470044840176415,2.3204599047342445
C(user_id)[T.296],-0.9940175762054964,0.3700868481323025,3.138252284765096e-09,0.2663673941395238,0.5141930963545777
C(user_id)[T.307],-1.3858992972598116,0.25009878547702086,2.1231365197352879e-209,0.2290399567381917,0.27309384523059066
C(user_id)[T.309],-1.5402820686366858,0.21432063976953675,6.936011475442652e-107,0.18679303165044184,0.24590497956680543
C(user_id)[T.317],1.13519288665475,3.111773704641899,3.1887658155948815e-15,2.3465782979971266,4.126491580172547
C(user_id)[T.343],1.64318189367558,5.1715988378243125,1.556189265677651e-11,3.2076318320992874,8.33806245209937
C(user_id)[T.381],0.752246887425536,2.121762025175023,5.260647718285446e-11,1.6948760176414281,2.6561672031560017
C(user_id)[T.384],0.19859862165537598,1.2196923095575594,0.0012605253362395939,1.0810095263553359,1.3761667161338704
C(user_id)[T.389],0.11324042572537116,1.119901153630706,0.0002446217754112093,1.0541434191469237,1.1897608723093323
C(user_id)[T.390],-0.39183818084046995,0.6758134646797203,3.087726174041724e-25,0.6276126057311021,0.7277161657872896
C(user_id)[T.393],0.86926656294213,2.385160846488924,4.456827087096319e-11,1.8416403849703322,3.0890896561846444
C(user_id)[T.398],-0.2518856456044049,0.7773336245033778,9.011341427665307e-15,0.729375368371359,0.8284452560178971
C(user_id)[T.425],0.3072135298898259,1.3596312589909199,0.00029918339851682486,1.151074967161185,1.6059746004070425
C(user_id)[T.443],-1.3640933488479405,0.2556123221674456,0.0,0.24601114678611977,0.2655882064589459
C(user_id)[T.456],-0.7618289248579432,0.4668118819438841,4.1353009679580556e-64,0.4273484971537186,0.5099195026433114
C(user_id)[T.458],0.44703009423597834,1.5636613557721808,5.1017021137050026e-08,1.331357692786439,1.8364988228054646
C(user_id)[T.459],0.5370142321681884,1.7108909054267853,5.100150748598863e-07,1.387428201728768,2.1097651659558245
C(user_id)[T.461],0.12789212701964484,1.1364304059498849,0.005897232621506884,1.0375431057779383,1.2447425657549787
C(user_id)[T.464],0.5223202448372088,1.685934896801201,2.6096279184021203e-05,1.3216369628923068,2.1506484428460144
C(user_id)[T.480],-0.937391379088012,0.3916481655473719,1.4131512798763162e-140,0.36415374580915755,0.4212184752783183
C(user_id)[T.493],0.4897331139085529,1.6318806355877196,1.5780778159803467e-12,1.4246397960775041,1.8692685801269753
C(user_id)[T.496],0.0957689532305583,1.1005047665467425,0.027427080997577458,1.01071441723025,1.1982719555055066
C(user_id)[T.501],-0.11575184785455078,0.8906962240543751,0.056346944307012946,0.7908596000521254,1.0031360351349756
C(user_id)[T.504],-0.34173994248241046,0.7105329601223939,7.743674997153462e-40,0.6754027526323679,0.7474904202753418
C(user_id)[T.511],-0.30974042187041273,0.733637367725599,2.4996606671506037e-28,0.6943782199454341,0.7751161713649954
C(user_id)[T.531],-0.6737497441550939,0.5097933945055815,3.3198542165122304e-77,0.47485185161727994,0.5473060791410548
C(user_id)[T.541],0.8545456328096381,2.3503062358874383,2.3632657547068655e-10,1.8043280420654517,3.0614939598943494
C(user_id)[T.542],0.5156215784634686,1.6746791228261841,2.241041311436367e-06,1.3525356967929048,2.0735498302040747
C(user_id)[T.545],-0.2230322569016316,0.8000890404848249,6.209034189160168e-05,0.7173530323627537,0.892367417191342
C(user_id)[T.557],-1.1556563460413014,0.3148508179832781,1.2917461573699546e-133,0.2871545416750675,0.3452184214342394
C(user_id)[T.580],-1.0576694332031489,0.34726419036412637,3.57554897775067e-84,0.3121387098089771,0.3863423988106199
C(user_id)[T.613],1.27852375535481,3.591334122581274,1.933083968700786e-11,2.4722463817074725,5.216988434263071
C(user_id)[T.614],0.5522076180284146,1.737083605158503,4.1990296426315e-08,1.4258784884358628,2.116210796209224
C(user_id)[T.636],0.12624738334031563,1.1345628055057309,0.0086509197610157,1.0325217750994424,1.2466882449167342
C(user_id)[T.658],0.68462929345433,1.9830365746240473,7.112154398012074e-08,1.5458901365970676,2.54379917641046
C(user_id)[T.663],-1.6080387036344637,0.20028003762979746,1.1208687956407717e-141,0.17685789066877053,0.22680409294328455
C(user_id)[T.690],-0.9360326733492312,0.39218066182844125,1.156301740469543e-179,0.36779787099881167,0.4181798853117644
C(user_id)[T.711],-1.2037670947302785,0.3000617192265982,3.095737541821169e-92,0.26724427251672805,0.3369091299780279
C(user_id)[T.727],0.19962528068219637,1.2209451606925286,0.0006489260704841187,1.0886045965767155,1.3693742338644002
C(user_id)[T.731],0.06693073708644857,1.0692214182191682,0.4239490023843676,0.9074372545184611,1.2598495769112719
C(user_id)[T.747],0.1223820826669557,1.1301858437158336,0.19976646975220624,0.9373598742159985,1.3626783868938412
C(user_id)[T.761],-0.7949444249836343,0.45160633225449937,0.00026938160039661005,0.2944576270605143,0.6926235240306667
C(user_id)[T.798],0.5645883819130447,1.7587237112220795,1.19194202941426e-08,1.44843342270599,2.1354858593611854
C(user_id)[T.799],-1.1095383285598892,0.3297111441619394,6.04702495672636e-85,0.2949689827159632,0.3685453215576081
C(user_id)[T.808],0.11059247725036506,1.1169396357825492,0.03020920720501546,1.01063775970882,1.234422658363262
C(user_id)[T.825],-0.270894864979804,0.7626966783207065,1.2016407760541495e-06,0.6836925940204831,0.850830078033596
C(user_id)[T.836],0.3440984350296557,1.4107174926915897,1.7719431576134135e-05,1.2055771867528389,1.6507643525889397
C(user_id)[T.879],1.0769975761673536,2.935851634207521,2.201386953485936e-09,2.0629525544253484,4.178101333251421
C(user_id)[T.895],-0.07198199913323636,0.9305476463246422,0.31283770836362157,0.8091538942200458,1.070153561968582
C(user_id)[T.909],0.9625556173167155,2.618379506156353,2.9176427116843996e-08,1.8634061033493012,3.679236225499485
C(user_id)[T.910],-1.2142970125306467,0.2969186710490747,1.6163611428777065e-139,0.27010393983613096,0.32639545084397786
C(user_id)[T.934],0.6853446426818208,1.984455645811015,1.1697073957669567e-09,1.591334372666201,2.474693111538327
C(user_id)[T.938],0.5629588586478074,1.7558601637597664,2.2159540029495183e-11,1.4889256175283379,2.070650728541042
C(user_id)[T.944],0.6880930777145242,1.9899172952851232,8.322475419677155e-09,1.5746412690475193,2.5147129825132017
C(user_id)[T.989],0.17686249062640028,1.193466968947779,0.011283802845942308,1.0408666312037917,1.3684398781446976
C(user_id)[T.991],-0.4079900943509095,0.6649854659024527,1.499065022213072e-23,0.613888699529373,0.7203352500225388
long_view_rate_t,-0.03044969492602711,0.9700092272258082,0.7833130040260368,0.7807770282313573,1.2051044880695438
"long_view_rate_t:C(dominant_tab, Treatment(reference=1))[T.2]",0.2352530548923282,1.2652289005889263,0.09991986428225544,0.9559955359326812,1.6744891693701256
prior_7d_sessions_per_day,-0.08652593960356447,0.917111758960706,0.00022351471660970088,0.8759255211790106,0.9602345839768126
prior_7d_avg_minutes_per_session,-0.001669969396179112,0.9983314242268357,0.4680849272446468,0.99383822370434,1.0028449387707223
sessions_t,0.0024204907751855676,1.0024234225279316,0.578105869499342,0.9939089644978139,1.011010820835415
